Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Kenya,128/7,20.0,6.40,2,lost,,v Uganda,Nairobi (Gym),13 Jun 2023,
Uganda,153/7,20.0,7.65,1,won,,v Botswana,Nairobi (Gym),14 Jun 2023,
Botswana,89/9,20.0,4.45,2,lost,,v Uganda,Nairobi (Gym),14 Jun 2023,
Rwanda,92,18.2,5.01,1,lost,,v Kenya,Nairobi (Gym),14 Jun 2023,
Kenya,98/3,14.1,6.91,2,won,,v Rwanda,Nairobi (Gym),14 Jun 2023,
Rwanda,85,20.0,4.25,1,lost,,v Uganda,Nairobi (Gym),15 Jun 2023,
Uganda,87/3,9.3,9.15,2,won,,v Rwanda,Nairobi (Gym),15 Jun 2023,
Botswana,145/8,20.0,7.25,1,won,,v Kenya,Nairobi (Gym),15 Jun 2023,
Kenya,115,18.5,6.10,2,lost,,v Botswana,Nairobi (Gym),15 Jun 2023,
Botswana,64,18.1,3.52,1,lost,,v Uganda,Nairobi (Gym),17 Jun 2023,
Uganda,65/3,7.2,8.86,2,won,,v Botswana,Nairobi (Gym),17 Jun 2023,
Rwanda,99,20.0,4.95,1,lost,,v Kenya,Nairobi (Gym),17 Jun 2023,
Kenya,100/3,17.2,5.76,2,won,,v Rwanda,Nairobi (Gym),17 Jun 2023,
Botswana,98/8,20.0,4.90,1,lost,,v Rwanda,Nairobi (Gym),18 Jun 2023,
Rwanda,99/3,18.4,5.30,2,won,,v Botswana,Nairobi (Gym),18 Jun 2023,
Kenya,117/8,20.0,5.85,1,lost,,v Uganda,Nairobi (Gym),18 Jun 2023,
Uganda,120/5,18.4,6.42,2,won,,v Kenya,Nairobi (Gym),18 Jun 2023,
Botswana,131/5,20.0,6.55,1,lost,,v Kenya,Nairobi (Gym),19 Jun 2023,
Kenya,133/4,17.3,7.60,2,won,,v Botswana,Nairobi (Gym),19 Jun 2023,
Uganda,153/5,20.0,7.65,1,won,,v Rwanda,Nairobi (Gym),19 Jun 2023,
Rwanda,59,15.4,3.76,2,lost,,v Uganda,Nairobi (Gym),19 Jun 2023,
Uganda,125,20.0,6.25,1,won,,v Kenya,Nairobi (Gym),21 Jun 2023,
Kenya,124/7,20.0,6.20,2,lost,,v Uganda,Nairobi (Gym),21 Jun 2023,
Serbia,181/8,20.0,9.05,1,won,,v Turkey,Sofia,23 Jun 2023,
Turkey,111,18.2,6.05,2,lost,,v Serbia,Sofia,23 Jun 2023,
Croatia,75,12.4,5.92,1,lost,,v Bulgaria,Sofia,23 Jun 2023,
Bulgaria,76/1,6.3,11.69,2,won,,v Croatia,Sofia,23 Jun 2023,
Bulgaria,166/8,20.0,8.30,1,lost,,v Serbia,Sofia,23 Jun 2023,
Serbia,168/5,19.1,8.76,2,won,,v Bulgaria,Sofia,23 Jun 2023,
Croatia,83/8,20.0,4.15,1,lost,,v Turkey,Sofia,24 Jun 2023,
Turkey,88/2,6.0,14.66,2,won,,v Croatia,Sofia,24 Jun 2023,
Switzerland,150/6,20.0,7.50,1,lost,,v Luxembourg,Walferdange,24 Jun 2023,
Luxembourg,151/7,19.5,7.61,2,won,,v Switzerland,Walferdange,24 Jun 2023,
Croatia,76,19.4,3.86,1,lost,,v Serbia,Sofia,24 Jun 2023,
Serbia,77/1,8.3,9.05,2,won,,v Croatia,Sofia,24 Jun 2023,
Turkey,147,19.4,7.47,1,lost,,v Bulgaria,Sofia,24 Jun 2023,
Bulgaria,149/2,15.5,9.41,2,won,,v Turkey,Sofia,24 Jun 2023,
Croatia,DNB,0.0,-,0,n/r,,v Turkey,Sofia,25 Jun 2023,
Turkey,DNB,0.0,-,0,n/r,,v Croatia,Sofia,25 Jun 2023,
Luxembourg,122,19.5,6.15,1,lost,,v Switzerland,Walferdange,25 Jun 2023,
Switzerland,123/2,13.1,9.34,2,won,,v Luxembourg,Walferdange,25 Jun 2023,
Serbia,DNB,0.0,-,0,n/r,,v Bulgaria,Sofia,25 Jun 2023,
Bulgaria,DNB,0.0,-,0,n/r,,v Serbia,Sofia,25 Jun 2023,
Austria,114,19.5,5.74,1,lost,,v Germany,Deventer,29 Jun 2023,
Germany,115/4,17.1,6.69,2,won,,v Austria,Deventer,29 Jun 2023,
Austria,121/8,20.0,6.05,1,lost,,v Germany,Deventer,30 Jun 2023,
Germany,123/2,15.1,8.10,2,won,,v Austria,Deventer,30 Jun 2023,
Guernsey,134/6,20.0,6.70,1,lost,,v Jersey,St Martin,7 Jul 2023,
Jersey,135/3,15.2,8.80,2,won,,v Guernsey,St Martin,7 Jul 2023,
Guernsey,151/9,20.0,7.55,1,lost,,v Jersey,St Martin,8 Jul 2023,
Jersey,152/6,19.0,8.00,2,won,,v Guernsey,St Martin,8 Jul 2023,
Austria,149/5,20.0,7.45,1,lost,,v Isle of Man,Castletown,9 Jul 2023,
Isle of Man,150/4,19.2,7.75,2,won,,v Austria,Castletown,9 Jul 2023,
Austria,137,19.1,7.14,1,lost,,v Isle of Man,Castletown,9 Jul 2023,
Isle of Man,140/5,19.4,7.11,2,won,,v Austria,Castletown,9 Jul 2023,
France,115,19.4,5.84,1,won,,v Malta,Marsa,10 Jul 2023,
Malta,106,17.1,6.17,2,lost,,v France,Marsa,10 Jul 2023,
Malta,125/9,20.0,6.25,1,won,,v France,Marsa,10 Jul 2023,
France,121,19.5,6.10,2,lost,,v Malta,Marsa,10 Jul 2023,
Austria,DNB,0.0,-,0,n/r,,v Isle of Man,Castletown,10 Jul 2023,
Isle of Man,71/5,11.0,6.45,1,n/r,,v Austria,Castletown,10 Jul 2023,
Malta,179/8,20.0,8.95,1,won,,v Luxembourg,Marsa,11 Jul 2023,
Luxembourg,137/9,20.0,6.85,2,lost,,v Malta,Marsa,11 Jul 2023,
France,177/5,20.0,8.85,1,won,,v Luxembourg,Marsa,11 Jul 2023,
Luxembourg,126,20.0,6.30,2,lost,,v France,Marsa,11 Jul 2023,
Malta,163/5,20.0,8.15,1,lost,,v Luxembourg,Marsa,12 Jul 2023,
