Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Scotland,141/6,20.0,7.05,1,won,,v Zimbabwe,Edinburgh,15 Sep 2021,
Zimbabwe,134/9,20.0,6.70,2,lost,,v Scotland,Edinburgh,15 Sep 2021,
Nigeria,133/5,18.0,7.38,1,won,,v Kenya,Entebbe,16 Sep 2021,
Kenya,107/5,15.0,7.13,2,lost,,v Nigeria,Entebbe,16 Sep 2021,
Uganda,120/9,20.0,6.00,1,won,,v Kenya,Entebbe,17 Sep 2021,
Kenya,114/8,20.0,5.70,2,lost,,v Uganda,Entebbe,17 Sep 2021,
Zimbabwe,136/5,20.0,6.80,1,won,,v Scotland,Edinburgh,17 Sep 2021,
Scotland,126,19.4,6.40,2,lost,,v Zimbabwe,Edinburgh,17 Sep 2021,
Scotland,177/4,20.0,8.85,1,lost,,v Zimbabwe,Edinburgh,19 Sep 2021,
Zimbabwe,180/4,19.1,9.39,2,won,,v Scotland,Edinburgh,19 Sep 2021,
Namibia,159/8,20.0,7.95,1,won,,v U.A.E.,ICCA Dubai,5 Oct 2021,
U.A.E.,142/9,20.0,7.10,2,lost,,v Namibia,ICCA Dubai,5 Oct 2021,
Estonia,102/8,20.0,5.10,1,lost,,v Cyprus,Episkopi,5 Oct 2021,
Cyprus,105/6,18.1,5.77,2,won,,v Estonia,Episkopi,5 Oct 2021,
Estonia,130/6,20.0,6.50,1,lost,,v Cyprus,Episkopi,5 Oct 2021,
Cyprus,131/2,14.1,9.24,2,won,,v Estonia,Episkopi,5 Oct 2021,
Cyprus,92,19.2,4.75,1,lost,,v Isle of Man,Episkopi,6 Oct 2021,
Isle of Man,93/2,11.5,7.85,2,won,,v Cyprus,Episkopi,6 Oct 2021,
Estonia,118/7,20.0,5.90,1,lost,,v Isle of Man,Episkopi,6 Oct 2021,
Isle of Man,122/4,15.4,7.78,2,won,,v Estonia,Episkopi,6 Oct 2021,
U.A.E.,123/7,20.0,6.15,1,lost,,v Ireland,ICCA Dubai,7 Oct 2021,
Ireland,124/3,18.5,6.58,2,won,,v U.A.E.,ICCA Dubai,7 Oct 2021,
Cyprus,149/7,20.0,7.45,1,lost,,v Isle of Man,Episkopi,7 Oct 2021,
Isle of Man,151/7,19.3,7.74,2,won,,v Cyprus,Episkopi,7 Oct 2021,
Cyprus,187/8,20.0,9.35,1,won,,v Estonia,Episkopi,7 Oct 2021,
Estonia,108,18.5,5.73,2,lost,,v Cyprus,Episkopi,7 Oct 2021,
U.A.E.,163/4,20.0,8.15,1,won,,v Ireland,ICCA Dubai,8 Oct 2021,
Ireland,109,18.4,5.83,2,lost,,v U.A.E.,ICCA Dubai,8 Oct 2021,
Cyprus,160/9,20.0,8.00,1,won,,v Estonia,Episkopi,8 Oct 2021,
Estonia,121/6,20.0,6.05,2,lost,,v Cyprus,Episkopi,8 Oct 2021,
P.N.G.,154/5,20.0,7.70,1,lost,,v Scotland,ICCA Dubai,8 Oct 2021,
Scotland,156/2,17.5,8.74,2,won,,v P.N.G.,ICCA Dubai,8 Oct 2021,
Estonia,71,17.1,4.13,1,lost,,v Isle of Man,Episkopi,8 Oct 2021,
Isle of Man,72/2,8.2,8.64,2,won,,v Estonia,Episkopi,8 Oct 2021,
Scotland,137/8,20.0,6.85,1,lost,,v Namibia,ICCA Dubai,9 Oct 2021,
Namibia,138/5,17.4,7.81,2,won,,v Scotland,ICCA Dubai,9 Oct 2021,
Ireland,134/5,20.0,6.70,1,lost,,v U.A.E.,ICCA Dubai,10 Oct 2021,
U.A.E.,139/3,16.1,8.59,2,won,,v Ireland,ICCA Dubai,10 Oct 2021,
Namibia,174/6,20.0,8.70,1,won,,v P.N.G.,ICCA Dubai,10 Oct 2021,
P.N.G.,160/6,20.0,8.00,2,lost,,v Namibia,ICCA Dubai,10 Oct 2021,
Jersey,137/7,20.0,6.85,1,won,,v Germany,Almeria,15 Oct 2021,
Germany,133/5,20.0,6.65,2,lost,,v Jersey,Almeria,15 Oct 2021,
Denmark,100/9,20.0,5.00,1,lost,,v Italy,Almeria,15 Oct 2021,
Italy,101/4,17.5,5.66,2,won,,v Denmark,Almeria,15 Oct 2021,
Rwanda,153/9,20.0,7.65,1,lost,,v Ghana,Rwanda,16 Oct 2021,
Ghana,157/5,20.0,7.85,2,won,,v Rwanda,Rwanda,16 Oct 2021,
Swaziland,194/4,20.0,9.70,1,won,,v Lesotho,Kigali,16 Oct 2021,
Lesotho,140,17.3,8.00,2,lost,,v Swaziland,Kigali,16 Oct 2021,
Denmark,110/6,20.0,5.50,1,lost,,v Germany,Almeria,16 Oct 2021,
Germany,112/4,18.2,6.10,2,won,,v Denmark,Almeria,16 Oct 2021,
Seychelles,95,20.0,4.75,1,lost,,v Ghana,Rwanda,16 Oct 2021,
Ghana,96/1,10.1,9.44,2,won,,v Seychelles,Rwanda,16 Oct 2021,
Malawi,98/7,20.0,4.90,1,lost,,v Uganda,Kigali,16 Oct 2021,
Uganda,101/0,11.0,9.18,2,won,,v Malawi,Kigali,16 Oct 2021,
Jersey,139/5,20.0,6.95,1,won,,v Italy,Almeria,16 Oct 2021,
Italy,98,18.2,5.34,2,lost,,v Jersey,Almeria,16 Oct 2021,
Lesotho,131/8,20.0,6.55,1,lost,,v Seychelles,Rwanda,17 Oct 2021,
Seychelles,132/4,16.2,8.08,2,won,,v Lesotho,Rwanda,17 Oct 2021,
Swaziland,97,18.2,5.29,1,lost,,v Malawi,Kigali,17 Oct 2021,
Malawi,99/2,12.4,7.81,2,won,,v Swaziland,Kigali,17 Oct 2021,
Jersey,94,19.3,4.82,1,won,,v Denmark,Almeria,17 Oct 2021,
Denmark,89,19.5,4.48,2,lost,,v Jersey,Almeria,17 Oct 2021,
P.N.G.,129/9,20.0,6.45,1,lost,,v Oman,Al Amerat,17 Oct 2021,
Oman,131/0,13.4,9.58,2,won,,v P.N.G.,Al Amerat,17 Oct 2021,
Ghana,239/5,20.0,11.95,1,won,,v Lesotho,Rwanda,17 Oct 2021,
Lesotho,123,18.2,6.70,2,lost,,v Ghana,Rwanda,17 Oct 2021,
Uganda,169/4,20.0,8.45,1,won,,v Rwanda,Kigali,17 Oct 2021,
Rwanda,63,15.1,4.15,2,lost,,v Uganda,Kigali,17 Oct 2021,
Italy,103/5,20.0,5.15,1,lost,,v Germany,Almeria,17 Oct 2021,
Germany,104/6,18.4,5.57,2,won,,v Italy,Almeria,17 Oct 2021,
Scotland,140/9,20.0,7.00,1,won,,v Bangladesh,Al Amerat,17 Oct 2021,
Bangladesh,134/7,20.0,6.70,2,lost,,v Scotland,Al Amerat,17 Oct 2021,
Netherlands,106,20.0,5.30,1,lost,,v Ireland,Abu Dhabi,18 Oct 2021,
Ireland,107/3,15.1,7.05,2,won,,v Netherlands,Abu Dhabi,18 Oct 2021,
Namibia,96,19.3,4.92,1,lost,,v Sri Lanka,Abu Dhabi,18 Oct 2021,
Sri Lanka,100/3,13.3,7.40,2,won,,v Namibia,Abu Dhabi,18 Oct 2021,
Malawi,95/8,20.0,4.75,1,lost,,v Ghana,Rwanda,19 Oct 2021,
Ghana,96/3,12.0,8.00,2,won,,v Malawi,Rwanda,19 Oct 2021,
Lesotho,26,12.4,2.05,1,lost,,v Uganda,Kigali,19 Oct 2021,
Uganda,27/0,3.4,7.36,2,won,,v Lesotho,Kigali,19 Oct 2021,
Italy,141/4,20.0,7.05,1,won,,v Denmark,Almeria,19 Oct 2021,
Denmark,132/9,20.0,6.60,2,lost,,v Italy,Almeria,19 Oct 2021,
Nigeria,99,20.0,4.95,1,lost,,v Sierra Leone,Lagos,19 Oct 2021,
Sierra Leone,100/4,20.0,5.00,2,won,,v Nigeria,Lagos,19 Oct 2021,
Scotland,165/9,20.0,8.25,1,won,,v P.N.G.,Al Amerat,19 Oct 2021,
P.N.G.,148,19.3,7.58,2,lost,,v Scotland,Al Amerat,19 Oct 2021,
Rwanda,196/4,20.0,9.80,1,won,,v Seychelles,Rwanda,19 Oct 2021,
Seychelles,23/5,9.0,2.55,2,lost,,v Rwanda,Rwanda,19 Oct 2021,
Swaziland,72,14.5,4.85,1,lost,,v Uganda,Kigali,19 Oct 2021,
Uganda,76/4,12.1,6.24,2,won,,v Swaziland,Kigali,19 Oct 2021,
Germany,85,19.5,4.28,1,lost,,v Jersey,Almeria,19 Oct 2021,
Jersey,86/6,17.1,5.0,2,won,,v Germany,Almeria,19 Oct 2021,
Bangladesh,153,20.0,7.65,1,won,,v Oman,Al Amerat,19 Oct 2021,
Oman,127/9,20.0,6.35,2,lost,,v Bangladesh,Al Amerat,19 Oct 2021,
Malawi,142/2,20.0,7.1,1,won,,v Seychelles,Rwanda,20 Oct 2021,
Seychelles,121,19.3,6.2,2,lost,,v Malawi,Rwanda,20 Oct 2021,
Swaziland,74/9,20.0,3.7,1,lost,,v Ghana,Kigali,20 Oct 2021,
Ghana,75/3,10.4,7.03,2,won,,v Swaziland,Kigali,20 Oct 2021,
Italy,100/8,20.0,5.0,1,lost,,v Jersey,Almeria,20 Oct 2021,
Jersey,104/2,18.2,5.67,2,won,,v Italy,Almeria,20 Oct 2021,
Nigeria,102/7,20.0,5.1,1,won,,v Sierra Leone,Lagos,20 Oct 2021,
Sierra Leone,96/9,20.0,4.8,2,lost,,v Nigeria,Lagos,20 Oct 2021,
Netherlands,164/4,20.0,8.2,1,lost,,v Namibia,Abu Dhabi,20 Oct 2021,
Namibia,166/4,19.0,8.73,2,won,,v Netherlands,Abu Dhabi,20 Oct 2021,
Swaziland,128/7,16.0,8.0,1,lost,,v Seychelles,Rwanda,20 Oct 2021,
Seychelles,130/3,15.2,8.47,2,won,,v Swaziland,Rwanda,20 Oct 2021,
Rwanda,102/8,11.0,9.27,1,won,,v Lesotho,Kigali,20 Oct 2021,
Lesotho,80/7,11.0,7.27,2,lost,,v Rwanda,Kigali,20 Oct 2021,
Germany,119/5,20.0,5.95,1,won,,v Denmark,Almeria,20 Oct 2021,
Denmark,107,19.4,5.44,2,lost,,v Germany,Almeria,20 Oct 2021,
Sri Lanka,171/7,20.0,8.55,1,won,,v Ireland,Abu Dhabi,20 Oct 2021,
Ireland,101,18.3,5.45,2,lost,,v Sri Lanka,Abu Dhabi,20 Oct 2021,
Uganda,176/6,20.0,8.8,1,won,,v Ghana,Rwanda,21 Oct 2021,
Ghana,97,19.1,5.06,2,lost,,v Uganda,Rwanda,21 Oct 2021,
Italy,117,20.0,5.85,1,won,,v Germany,Almeria,21 Oct 2021,
Germany,116/6,20.0,5.8,2,lost,,v Italy,Almeria,21 Oct 2021,
Bangladesh,181/7,20.0,9.05,1,won,,v P.N.G.,Al Amerat,21 Oct 2021,
P.N.G.,97,19.3,4.97,2,lost,,v Bangladesh,Al Amerat,21 Oct 2021,
Malta,213/5,20.0,10.65,1,won,,v Gibraltar,Marsa,21 Oct 2021,
Gibraltar,152/2,20.0,7.6,2,lost,,v Malta,Marsa,21 Oct 2021,
Nigeria,124/8,20.0,6.2,1,won,,v Sierra Leone,Lagos,21 Oct 2021,
Sierra Leone,55,16.0,3.43,2,lost,,v Nigeria,Lagos,21 Oct 2021,
Denmark,130/6,20.0,6.5,1,lost,,v Jersey,Almeria,21 Oct 2021,
Jersey,131/6,18.5,6.95,2,won,,v Denmark,Almeria,21 Oct 2021,
Oman,122,20.0,6.1,1,lost,,v Scotland,Al Amerat,21 Oct 2021,
Scotland,123/2,17.0,7.23,2,won,,v Oman,Al Amerat,21 Oct 2021,
Swaziland,77,16.3,4.66,1,lost,,v Rwanda,Rwanda,22 Oct 2021,
Rwanda,79/3,8.0,9.87,2,won,,v Swaziland,Rwanda,22 Oct 2021,
Malawi,123/4,15.0,8.2,1,won,,v Lesotho,Kigali,22 Oct 2021,
Lesotho,101/7,15.0,6.73,2,lost,,v Malawi,Kigali,22 Oct 2021,
Gibraltar,133/9,20.0,6.65,1,lost,,v Switzerland,Marsa,22 Oct 2021,
Switzerland,134/1,14.4,9.13,2,won,,v Gibraltar,Marsa,22 Oct 2021,
Ireland,125/8,20.0,6.25,1,lost,,v Namibia,Sharjah,22 Oct 2021,
Namibia,126/2,18.3,6.81,2,won,,v Ireland,Sharjah,22 Oct 2021,
Malawi,139/2,20.0,6.95,1,won,,v Rwanda,Rwanda,22 Oct 2021,
Rwanda,115,18.2,6.27,2,lost,,v Malawi,Rwanda,22 Oct 2021,
Uganda,164/5,20.0,8.2,1,won,,v Seychelles,Kigali,22 Oct 2021,
Seychelles,69/9,20.0,3.45,2,lost,,v Uganda,Kigali,22 Oct 2021,
Bulgaria,81,19.3,4.15,1,lost,,v Switzerland,Marsa,22 Oct 2021,
Switzerland,82/2,6.0,13.66,2,won,,v Bulgaria,Marsa,22 Oct 2021,
Netherlands,44,10.0,4.4,1,lost,,v Sri Lanka,Sharjah,22 Oct 2021,
Sri Lanka,45/2,7.1,6.27,2,won,,v Netherlands,Sharjah,22 Oct 2021,
Gibraltar,217/4,20.0,10.85,1,won,,v Bulgaria,Marsa,23 Oct 2021,
Bulgaria,180/5,20.0,9.0,2,lost,,v Gibraltar,Marsa,23 Oct 2021,
Qatar,133/5,20.0,6.65,1,lost,,v Bahrain,Doha,23 Oct 2021,
Bahrain,134/2,13.1,10.17,2,won,,v Qatar,Doha,23 Oct 2021,
Sierra Leone,84/5,20.0,4.2,1,lost,,v Nigeria,Lagos,23 Oct 2021,
Nigeria,85/1,15.5,5.36,2,won,,v Sierra Leone,Lagos,23 Oct 2021,
Switzerland,150/9,20.0,7.5,1,won,,v Malta,Marsa,23 Oct 2021,
Malta,142/9,20.0,7.1,2,lost,,v Switzerland,Marsa,23 Oct 2021,
South Africa,118/9,20.0,5.9,1,lost,,v Australia,Abu Dhabi,23 Oct 2021,
Australia,121/5,19.4,6.15,2,won,,v South Africa,Abu Dhabi,23 Oct 2021,
Maldives,98/9,20.0,4.9,1,lost,,v Saudi Arabia,Doha,23 Oct 2021,
Saudi Arabia,101/3,15.1,6.65,2,won,,v Maldives,Doha,23 Oct 2021,
Bulgaria,150/6,20.0,7.5,1,lost,,v Malta,Marsa,23 Oct 2021,
Malta,153/4,17.0,9.0,2,won,,v Bulgaria,Marsa,23 Oct 2021,
West Indies,55,14.2,3.83,1,lost,,v England,Dubai (DICS),23 Oct 2021,
England,56/4,8.2,6.72,2,won,,v West Indies,Dubai (DICS),23 Oct 2021,
Bahrain,124/8,20.0,6.2,1,lost,,v Kuwait,Doha,24 Oct 2021,
Kuwait,129/4,11.3,11.21,2,won,,v Bahrain,Doha,24 Oct 2021,
Gibraltar,177/9,20.0,8.85,1,lost,,v Bulgaria,Marsa,24 Oct 2021,
Bulgaria,178/4,20.0,8.9,2,won,,v Gibraltar,Marsa,24 Oct 2021,
Bangladesh,171/4,20.0,8.55,1,lost,,v Sri Lanka,Sharjah,24 Oct 2021,
Sri Lanka,172/5,18.5,9.13,2,won,,v Bangladesh,Sharjah,24 Oct 2021,
Qatar,154/6,20.0,7.7,1,won,,v Maldives,Doha,24 Oct 2021,
Maldives,56,18.5,2.97,2,lost,,v Qatar,Doha,24 Oct 2021,
Malta,176/7,20.0,8.8,1,won,,v Switzerland,Marsa,24 Oct 2021,
Switzerland,170/8,20.0,8.5,2,lost,,v Malta,Marsa,24 Oct 2021,
Nigeria,90,17.4,5.09,1,won,,v Sierra Leone,Lagos,24 Oct 2021,
Sierra Leone,71,17.4,4.01,2,lost,,v Nigeria,Lagos,24 Oct 2021,
India,151/7,20.0,7.55,1,lost,,v Pakistan,Dubai (DICS),24 Oct 2021,
Pakistan,152/0,17.5,8.52,2,won,,v India,Dubai (DICS),24 Oct 2021,
Kuwait,146/8,20.0,7.3,1,lost,,v Saudi Arabia,Doha,25 Oct 2021,
Saudi Arabia,149/6,19.0,7.84,2,won,,v Kuwait,Doha,25 Oct 2021,
Malta,145,19.0,7.63,1,tied,,v Gibraltar,Marsa,25 Oct 2021,
Gibraltar,57/2,7.2,7.77,2,tied,,v Malta,Marsa,25 Oct 2021,
Afghanistan,190/4,20.0,9.5,1,won,,v Scotland,Sharjah,25 Oct 2021,
Scotland,60,10.2,5.8,2,lost,,v Afghanistan,Sharjah,25 Oct 2021,
Nigeria,134/8,20.0,6.7,1,won,,v Sierra Leone,Lagos,26 Oct 2021,
Sierra Leone,98/9,20.0,4.9,2,lost,,v Nigeria,Lagos,26 Oct 2021,
West Indies,143/8,20.0,7.15,1,lost,,v South Africa,Dubai (DICS),26 Oct 2021,
South Africa,144/2,18.2,7.85,2,won,,v West Indies,Dubai (DICS),26 Oct 2021,
New Zealand,134/8,20.0,6.7,1,lost,,v Pakistan,Sharjah,26 Oct 2021,
Pakistan,135/5,18.4,7.23,2,won,,v New Zealand,Sharjah,26 Oct 2021,
Maldives,88/9,20.0,4.4,1,lost,,v Bahrain,Doha,27 Oct 2021,
Bahrain,93/3,7.0,13.28,2,won,,v Maldives,Doha,27 Oct 2021,
Bangladesh,124/9,20.0,6.2,1,lost,,v England,Abu Dhabi,27 Oct 2021,
England,126/2,14.1,8.89,2,won,,v Bangladesh,Abu Dhabi,27 Oct 2021,
Saudi Arabia,130/9,20.0,6.5,1,lost,,v Qatar,Doha,27 Oct 2021,
Qatar,134/5,19.4,6.81,2,won,,v Saudi Arabia,Doha,27 Oct 2021,
Scotland,109/8,20.0,5.45,1,lost,,v Namibia,Abu Dhabi,27 Oct 2021,
Namibia,115/6,19.1,6.0,2,won,,v Scotland,Abu Dhabi,27 Oct 2021,
Maldives,103,20.0,5.15,1,lost,,v Kuwait,Doha,28 Oct 2021,
Kuwait,107/5,12.0,8.91,2,won,,v Maldives,Doha,28 Oct 2021,
Bahrain,179/9,20.0,8.95,1,won,,v Saudi Arabia,Doha,28 Oct 2021,
Saudi Arabia,161/6,20.0,8.05,2,lost,,v Bahrain,Doha,28 Oct 2021,
Sri Lanka,154/6,20.0,7.7,1,lost,,v Australia,Dubai (DICS),28 Oct 2021,
Australia,155/3,17.0,9.11,2,won,,v Sri Lanka,Dubai (DICS),28 Oct 2021,
West Indies,142/7,20.0,7.1,1,won,,v Bangladesh,Sharjah,29 Oct 2021,
Bangladesh,139/5,20.0,6.95,2,lost,,v West Indies,Sharjah,29 Oct 2021,
Kuwait,126/9,20.0,6.3,1,lost,,v Qatar,Doha,29 Oct 2021,
Qatar,127/8,11.5,10.73,2,won,,v Kuwait,Doha,29 Oct 2021,
Afghanistan,147/6,20.0,7.35,1,lost,,v Pakistan,Dubai (DICS),29 Oct 2021,
Pakistan,148/5,19.0,7.78,2,won,,v Afghanistan,Dubai (DICS),29 Oct 2021,
Sri Lanka,142,20.0,7.1,1,lost,,v South Africa,Sharjah,30 Oct 2021,
South Africa,146/6,19.5,7.36,2,won,,v Sri Lanka,Sharjah,30 Oct 2021,
Australia,125,20.0,6.25,1,lost,,v England,Dubai (DICS),30 Oct 2021,
England,126/2,11.4,10.8,2,won,,v Australia,Dubai (DICS),30 Oct 2021,
Afghanistan,160/5,20.0,8.0,1,won,,v Namibia,Abu Dhabi,31 Oct 2021,
Namibia,98/9,20.0,4.9,2,lost,,v Afghanistan,Abu Dhabi,31 Oct 2021,
India,110/7,20.0,5.5,1,lost,,v New Zealand,Dubai (DICS),31 Oct 2021,
New Zealand,111/2,14.3,7.65,2,won,,v India,Dubai (DICS),31 Oct 2021,
England,163/4,20.0,8.15,1,won,,v Sri Lanka,Sharjah,1 Nov 2021,
Sri Lanka,137,19.0,7.21,2,lost,,v England,Sharjah,1 Nov 2021,
Botswana,157/5,20.0,7.85,1,won,,v Sierra Leone,Rwanda,2 Nov 2021,
Sierra Leone,85,17.5,4.76,2,lost,,v Botswana,Rwanda,2 Nov 2021,
Bangladesh,84,18.2,4.58,1,lost,,v South Africa,Abu Dhabi,2 Nov 2021,
South Africa,86/4,13.3,6.37,2,won,,v Bangladesh,Abu Dhabi,2 Nov 2021,
Tanzania,242/6,20.0,12.1,1,won,,v Mozambique,Rwanda,2 Nov 2021,
Mozambique,155/9,20.0,7.75,2,lost,,v Tanzania,Rwanda,2 Nov 2021,
Pakistan,189/2,20.0,9.45,1,won,,v Namibia,Abu Dhabi,2 Nov 2021,
Namibia,144/5,20.0,7.2,2,lost,,v Pakistan,Abu Dhabi,2 Nov 2021,
Mozambique,209/5,20.0,10.45,1,won,,v Cameroon,Rwanda,3 Nov 2021,
Cameroon,38,10.1,3.73,2,lost,,v Mozambique,Rwanda,3 Nov 2021,
New Zealand,172/5,20.0,8.6,1,won,,v Scotland,Dubai (DICS),3 Nov 2021,
Scotland,156/5,20.0,7.8,2,lost,,v New Zealand,Dubai (DICS),3 Nov 2021,
Sierra Leone,99/8,20.0,4.95,1,lost,,v Tanzania,Rwanda,3 Nov 2021,
Tanzania,104/2,10.5,9.6,2,won,,v Sierra Leone,Rwanda,3 Nov 2021,
India,210/2,20.0,10.5,1,won,,v Afghanistan,Abu Dhabi,3 Nov 2021,
Afghanistan,144/7,20.0,7.2,2,lost,,v India,Abu Dhabi,3 Nov 2021,
Bangladesh,73,15.0,4.86,1,lost,,v Australia,Dubai (DICS),4 Nov 2021,
Australia,78/2,6.2,12.31,2,won,,v Bangladesh,Dubai (DICS),4 Nov 2021,
Sri Lanka,189/3,20.0,9.45,1,won,,v West Indies,Abu Dhabi,4 Nov 2021,
West Indies,169/8,20.0,8.45,2,lost,,v Sri Lanka,Abu Dhabi,4 Nov 2021,
Cameroon,51,16.0,3.18,1,lost,,v Botswana,Rwanda,5 Nov 2021,
Botswana,54/1,4.5,11.17,2,won,,v Cameroon,Rwanda,5 Nov 2021,
New Zealand,163/4,20.0,8.15,1,won,,v Namibia,Sharjah,5 Nov 2021,
Namibia,111/7,20.0,5.55,2,lost,,v New Zealand,Sharjah,5 Nov 2021,
Mozambique,96/9,20.0,4.8,1,lost,,v Sierra Leone,Rwanda,5 Nov 2021,
Sierra Leone,97/5,17.2,5.59,2,won,,v Mozambique,Rwanda,5 Nov 2021,
Scotland,85,17.4,4.81,1,lost,,v India,Dubai (DICS),5 Nov 2021,
India,89/2,6.3,13.69,2,won,,v Scotland,Dubai (DICS),5 Nov 2021,
Botswana,152/5,20.0,7.6,1,won,,v Mozambique,Rwanda,6 Nov 2021,
Mozambique,100,19.5,5.04,2,lost,,v Botswana,Rwanda,6 Nov 2021,
West Indies,157/7,20.0,7.85,1,lost,,v Australia,Abu Dhabi,6 Nov 2021,
Australia,161/2,16.2,9.85,2,won,,v West Indies,Abu Dhabi,6 Nov 2021,
Tanzania,240/5,20.0,12.0,1,won,,v Cameroon,Rwanda,6 Nov 2021,
Cameroon,62,16.2,3.79,2,lost,,v Tanzania,Rwanda,6 Nov 2021,
South Africa,189/2,20.0,9.45,1,won,,v England,Sharjah,6 Nov 2021,
England,179/8,20.0,8.95,2,lost,,v South Africa,Sharjah,6 Nov 2021,
Cameroon,89/9,20.0,4.45,1,lost,,v Sierra Leone,Rwanda,7 Nov 2021,
Sierra Leone,90/4,12.1,7.39,2,won,,v Cameroon,Rwanda,7 Nov 2021,
Afghanistan,124/8,20.0,6.2,1,lost,,v New Zealand,Abu Dhabi,7 Nov 2021,
New Zealand,125/2,18.1,6.88,2,won,,v Afghanistan,Abu Dhabi,7 Nov 2021,
Tanzania,143,19.5,7.21,1,won,,v Botswana,Rwanda,7 Nov 2021,
Botswana,140/7,20.0,7.0,2,lost,,v Tanzania,Rwanda,7 Nov 2021,
Belize,64/9,20.0,3.2,1,lost,,v U.S.A.,Coolidge,7 Nov 2021,
U.S.A.,68/0,4.2,15.69,2,won,,v Belize,Coolidge,7 Nov 2021,
Canada,190/5,20.0,9.5,1,won,,v Bahamas,North Sound,7 Nov 2021,
Bahamas,68,15.2,4.43,2,lost,,v Canada,North Sound,7 Nov 2021,
Pakistan,189/4,20.0,9.45,1,won,,v Scotland,Sharjah,7 Nov 2021,
Scotland,117/6,20.0,5.85,2,lost,,v Pakistan,Sharjah,7 Nov 2021,
Panama,85/8,20.0,4.25,1,lost,,v U.S.A.,Coolidge,7 Nov 2021,
U.S.A.,86/1,9.2,9.21,2,won,,v Panama,Coolidge,7 Nov 2021,
Canada,234/3,20.0,11.7,1,won,,v Belize,Coolidge,8 Nov 2021,
Belize,89/6,20.0,4.45,2,lost,,v Canada,Coolidge,8 Nov 2021,
Bahamas,121,18.2,6.6,1,won,,v Argentina,North Sound,8 Nov 2021,
Argentina,109/5,20.0,5.45,2,lost,,v Bahamas,North Sound,8 Nov 2021,
Namibia,132/8,20.0,6.6,1,lost,,v India,Dubai (DICS),8 Nov 2021,
India,136/1,15.2,8.86,2,won,,v Namibia,Dubai (DICS),8 Nov 2021,
Belize,143/8,20.0,7.15,1,won,,v Panama,Coolidge,8 Nov 2021,
Panama,131/8,20.0,6.55,2,lost,,v Belize,Coolidge,8 Nov 2021,
U.S.A.,172,19.4,8.74,1,won,,v Bermuda,North Sound,8 Nov 2021,
Bermuda,149/8,20.0,7.45,2,lost,,v U.S.A.,North Sound,8 Nov 2021,
Bermuda,239/6,20.0,11.95,1,won,,v Bahamas,Coolidge,10 Nov 2021,
Bahamas,99/8,20.0,4.95,2,lost,,v Bermuda,Coolidge,10 Nov 2021,
Argentina,171/4,20.0,8.55,1,won,,v Belize,North Sound,10 Nov 2021,
Belize,112,18.5,5.94,2,lost,,v Argentina,North Sound,10 Nov 2021,
England,166/4,20.0,8.3,1,lost,,v New Zealand,Abu Dhabi,10 Nov 2021,
New Zealand,167/5,19.0,8.78,2,won,,v England,Abu Dhabi,10 Nov 2021,
Canada,142/5,20.0,7.1,1,tied,,v U.S.A.,Coolidge,10 Nov 2021,
U.S.A.,142/8,20.0,7.1,2,tied,,v Canada,Coolidge,10 Nov 2021,
Argentina,156/6,20.0,7.8,1,won,,v Panama,North Sound,10 Nov 2021,
Panama,111/9,20.0,5.55,2,lost,,v Argentina,North Sound,10 Nov 2021,
Canada,187/5,20.0,9.35,1,won,,v Bermuda,Coolidge,11 Nov 2021,
Bermuda,141/7,20.0,7.05,2,lost,,v Canada,Coolidge,11 Nov 2021,
Bahamas,150/8,20.0,7.5,1,won,,v Belize,North Sound,11 Nov 2021,
Belize,139/6,20.0,6.95,2,lost,,v Bahamas,North Sound,11 Nov 2021,
Pakistan,176/4,20.0,8.8,1,lost,,v Australia,Dubai (DICS),11 Nov 2021,
Australia,177/5,19.0,9.31,2,won,,v Pakistan,Dubai (DICS),11 Nov 2021,
Bermuda,181/6,20.0,9.05,1,won,,v Panama,Coolidge,11 Nov 2021,
Panama,95/8,20.0,4.75,2,lost,,v Bermuda,Coolidge,11 Nov 2021,
Argentina,90/7,20.0,4.5,1,lost,,v U.S.A.,North Sound,11 Nov 2021,
U.S.A.,94/2,13.3,6.96,2,won,,v Argentina,North Sound,11 Nov 2021,
Bahamas,90/7,20.0,4.5,1,lost,,v U.S.A.,Coolidge,13 Nov 2021,
U.S.A.,91/0,12.1,7.47,2,won,,v Bahamas,Coolidge,13 Nov 2021,
Belize,85,18.5,4.51,1,lost,,v Bermuda,North Sound,13 Nov 2021,
Bermuda,89/3,8.0,11.12,2,won,,v Belize,North Sound,13 Nov 2021,
Panama,139/8,20.0,6.95,1,won,,v Bahamas,Coolidge,13 Nov 2021,
Bahamas,113,18.3,6.1,2,lost,,v Panama,Coolidge,13 Nov 2021,
Argentina,109,18.0,6.05,1,lost,,v Canada,North Sound,13 Nov 2021,
Canada,115/1,9.1,12.54,2,won,,v Argentina,North Sound,13 Nov 2021,
Canada,245/1,20.0,12.25,1,won,,v Panama,Coolidge,14 Nov 2021,
Panama,37,17.2,2.13,2,lost,,v Canada,Coolidge,14 Nov 2021,
New Zealand,172/4,20.0,8.6,1,lost,,v Australia,Dubai (DICS),14 Nov 2021,
Australia,173/2,18.5,9.18,2,won,,v New Zealand,Dubai (DICS),14 Nov 2021,
